year,Bare,Built,Crops,Trees,Water
"2016",33.809,322.001,"2,395.133",633.537,63.795
"2017",61.783,413.805,"1,480.489","1,411.276",87.275
"2018",31.04,469.994,"2,055.974",856.426,63.387
"2019",30.297,483.519,"2,403.076",489.365,59.508
"2020",31.832,419.664,"1,938.593",983.868,80.272
"2021",30.517,412.961,"1,968.657",970.411,83.684
"2022",23.844,457.651,"2,059.979",849.123,76.925
"2023",85.356,594.61,"1,478.199","1,159.318",71.455
"2024",41.235,547.972,"2,143.108",634.991,76.345
"2025",20.923,410.487,"1,192.885","1,749.962",69.86
