year,Built,Crops,Trees,Water
"2,016","322,000,898.242","2,395,133,014.705","633,537,016.023","63,794,736.582"
"2,017","413,804,508.368","1,480,489,371.335","1,411,275,999.625","87,274,905.443"
"2,018","469,994,224.299","2,055,974,335.114","856,426,209.795","63,386,857.524"
"2,019","483,519,100.074","2,403,076,125.396","489,364,996.453","59,508,310.791"
"2,020","419,691,078.094","1,936,577,120.682","985,344,972.431","80,447,441.859"
"2,021","412,961,343.688","1,968,657,399.011","970,410,845.271","83,683,662.242"
"2,022","457,650,624.781","2,059,979,011.755","849,123,277.311","76,924,644.479"
"2,023","594,609,913.168","1,478,198,733.741","1,159,317,846.893","71,454,993.931"
"2,024","547,972,282.043","2,143,108,322.575","634,990,969.887","76,345,366.686"
"2,025","410,486,616.271","1,192,884,520.691","1,749,961,606.597","69,859,638.271"
